59, 112, 1298, 1854, 3632
57, 111, 1472, 1368, 3134
59, 110, 1912, 1460, 3598
57, 112, 1158, 1740, 3786
57, 112, 1444, 1204, 3142
58, 112, 1728, 1882, 3548
58, 112, 1482, 1180, 3588
57, 113, 1228, 1428, 3234
58, 111, 1890, 1464, 3334
60, 113, 1890, 1464, 3906
58, 113, 1438, 2098, 3906
58, 112, 1378, 1316, 3314
54, 113, 1378, 2056, 3306
57, 111, 1458, 1458, 3608
57, 111, 1338, 1656, 3626
57, 111, 1092, 1522, 3136
56, 114, 1870, 1536, 3544
56, 111, 1870, 570, 3508
58, 113, 1456, 1886, 3208
58, 110, 1640, 1886, 3476
58, 112, 2028, 1494, 3872
58, 113, 1434, 1654, 3168
59, 118, 814, 922, 3168
59, 113, 1432, 1378, 3298
58, 114, 2154, 1348, 3648
58, 113, 1804, 1324, 3330
58, 113, 1012, 1294, 3382
58, 113, 1012, 1372, 3606
57, 113, 2078, 1372, 3660
57, 113, 650, 1958, 3068
58, 112, 2012, 1244, 3068
58, 113, 1584, 1468, 3698
58, 112, 1452, 1170, 3414
57, 112, 1984, 1424, 3130
58, 113, 1742, 1478, 3622
58, 115, 522, 1390, 3686
57, 113, 1468, 690, 3096
58, 113, 1166, 1224, 3424
58, 114, 1448, 1196, 3564
58, 115, 1448, 1422, 3270
58, 114, 1380, 1422, 3418
57, 115, 1740, 1636, 3418
54, 115, 1228, 2202, 3730
57, 114, 1082, 1946, 3628
57, 115, 1634, 1474, 3068
57, 115, 1918, 1268, 3602
57, 116, 1092, 1770, 3654
57, 114, 1092, 1648, 3150
57, 114, 1986, 1516, 3664
51, 114, 1522, 1516, 3738
56, 113, 1568, 1212, 3188
57, 114, 1180, 1596, 3188
56, 114, 2052, 1504, 3416
58, 113, 1022, 1062, 3660
60, 114, 1668, 1436, 3326
61, 113, 1920, 1282, 3190
59, 113, 1094, 1546, 3804
58, 113, 1436, 742, 3264
58, 112, 1436, 2036, 3346
59, 112, 1120, 2036, 3346
58, 112, 1932, 1512, 3600
57, 113, 1048, 1564, 3628
55, 112, 1654, 1242, 3066
57, 103, 2016, 1144, 3536
55, 113, 1842, 1288, 3600
59, 112, 1538, 1426, 3350
58, 113, 2138, 2528, 3794
58, 113, 378, 1526, 3694
59, 113, 1100, 1510, 3248
59, 114, 1100, 1364, 3318
60, 115, 2002, 1364, 3318
61, 114, 1600, 1566, 3788
56, 112, 1698, 1508, 3348
57, 113, 840, 1812, 3478
57, 114, 1444, 1812, 3796
58, 114, 732, 1784, 3634
59, 114, 1550, 1194, 3184
57, 110, 1550, 1584, 3740
61, 114, 1448, 1524, 3574
59, 112, 1244, 1524, 3192
59, 114, 2028, 1444, 3590
59, 114, 2368, 1502, 3590
57, 113, 1352, 1398, 3678
60, 119, 1032, 1776, 3296
61, 116, 1456, 1810, 3534
59, 115, 1610, 838, 3630
60, 115, 1728, 1258, 3328
59, 115, 1472, 2106, 3454
62, 114, 1472, 2106, 3736
59, 112, 2206, 1414, 3736
54, 113, 740, 1588, 3636
59, 114, 1582, 1772, 3214
56, 112, 1574, 1340, 3716
58, 115, 1256, 1584, 3690
58, 112, 1776, 1270, 3132
60, 113, 1790, 1954, 3652
58, 113, 1564, 1670, 3862
61, 115, 1034, 1810, 3374
60, 114, 2048, 1484, 3388
59, 114, 2048, 1484, 3710
