57, 43, 1026, 1162, 3240
58, 45, 2414, 82, 3230
57, 46, 2346, 260, 3230
59, 42, 1660, 168, 3542
59, 41, 2334, -276, 3160
59, 42, 2370, 1242, 3332
60, 43, 2164, 128, 3554
60, 46, 1762, 1106, 3584
60, 45, 1762, 438, 3012
59, 44, 2148, 438, 3418
60, 46, 2472, 22, 3658
61, 45, 2352, 880, 3658
61, 45, 2550, 698, 3206
61, 45, 2492, 1706, 3796
61, 44, 1558, 62, 3538
61, 41, 2168, 930, 3418
60, 45, 2684, 122, 3216
60, 44, 2684, 68, 3640
60, 45, 2810, 904, 3476
63, 43, 1904, 904, 3234
61, 45, 2556, 230, 3234
63, 44, 1750, 6, 3504
62, 46, 2074, 722, 3612
63, 44, 1784, 860, 3252
63, 44, 2514, 356, 3578
64, 46, 2084, 422, 3614
63, 46, 2144, 912, 3308
64, 47, 2144, 1290, 3728
64, 45, 1656, 1290, 3364
62, 46, 2076, 186, 3364
63, 48, 1838, 972, 3492
64, 46, 1938, 392, 3180
64, 47, 2218, 194, 3624
63, 47, 2004, 516, 3350
64, 47, 1824, 1222, 3434
63, 48, 2844, 1194, 3884
63, 46, 2844, 580, 3460
62, 44, 1930, 580, 3296
63, 47, 2272, 692, 3296
64, 49, 1000, 90, 3464
64, 47, 1554, 628, 3534
64, 48, 2208, 1006, 3288
64, 49, 2046, 1086, 3920
65, 51, 2762, 510, 3538
63, 47, 2008, 786, 3390
63, 47, 1932, 842, 3452
63, 47, 1932, 508, 3588
63, 47, 1504, 508, 3588
63, 48, 2598, 368, 3312
62, 48, 2364, 548, 3662
62, 48, 2680, -804, 3292
63, 47, 2314, 1624, 3412
63, 50, 1488, 1114, 3710
60, 51, 1576, 834, 3510
60, 49, 1714, 944, 3162
61, 50, 1714, 944, 3512
62, 51, 2468, 230, 3512
60, 49, 2138, 454, 3694
59, 51, 2590, 700, 3236
60, 50, 2264, 318, 3574
60, 50, 1736, 498, 3560
59, 49, 1552, 260, 3370
58, 50, 1552, 374, 3342
57, 48, 2352, 374, 3572
58, 48, 2512, 220, 3572
58, 48, 2024, 482, 3422
56, 45, 1744, 470, 3164
56, 45, 1630, 764, 3722
56, 47, 1848, 1130, 3742
57, 49, 2644, 408, 3020
59, 47, 2526, 880, 3784
57, 49, 1476, 206, 3582
60, 50, 1476, 744, 3288
60, 50, 1876, 744, 3520
59, 49, 2312, 682, 3520
59, 50, 1746, 598, 3686
58, 51, 2260, 730, 3284
59, 51, 1614, 356, 3394
60, 49, 1862, 268, 3472
59, 52, 2372, 860, 3590
59, 51, 2206, -602, 3092
58, 49, 2206, 390, 3662
59, 50, 1094, 390, 3662
55, 54, 1612, 794, 3490
56, 53, 2278, 776, 3202
55, 51, 1962, -536, 3528
